DateTime;timestamp;DeviceID;uptime;Status;measuretime;person;window_open;window_event;door_event;dHdt;dCO2dt;bat;bat_e;health;performance;virus;tvoc;tvoc_e;co2;co2_e;oxygen;oxygen_e;co;co_e;o3;o3_e;pm1;pm1_e;pm2_5;pm2_5_e;pm10;pm10_e;cnt0_3;cnt0_3_e;cnt0_5;cnt0_5_e;cnt1;cnt1_e;cnt2_5;cnt2_5_e;cnt5;cnt5_e;cnt10;cnt10_e;TypPS;temperature;temperature_e;humidity;humidity_e;humidity_abs;humidity_abs_e;dewpt;dewpt_e;pressure;pressure_e;pressure_rel;pressure_rel_e;no2;no2_e;so2;so2_e;h2s;h2s_e;sound;sound_e;sound_max;tvoc_ionsc;tvoc_ionsc_e;radon;radon_e;n2o;n2o_e;no2_insplorion;no2_insplorion_e;ch4_MIPEX;ch4_MIPEX_e;c3h8_MIPEX;c3h8_MIPEX_e;flammable;ethanol;ethanol_e;iaq_spec;iaq_spec_e;resp_irr_spec;resp_irr_spec_e;nh3_MR100;nh3_MR100_e;acid_M100;acid_M100_e;h2_M1000;h2_M1000_e;no_M250;no_M250_e;cl2_M20;cl2_M20_e;ch2o_M10;ch2o_M10_e;pm1_SPS30;pm1_SPS30_e;pm2_5_SPS30;pm2_5_SPS30_e;pm4_SPS30;pm4_SPS30_e;pm10_SPS30;pm10_SPS30_e;cnt0_5_SPS30;cnt0_5_SPS30_e;cnt1_SPS30;cnt1_SPS30_e;cnt2_5_SPS30;cnt2_5_SPS30_e;cnt4_SPS30;cnt4_SPS30_e;cnt10_SPS30;cnt10_SPS30_e;TypPS_SPS30;br2;f2;hf;hcl;hcn;ch4s;clo2;cs2;ph3;sih4;c2h4;c2h4o;ash3;h2o2;refrigerant
04.01.2023 01:01:44;1672790504000;880f01e687e2572cea04e80fc6a68085;318234;OK;1819;0;0;0;0;-0,0;-2,97;0;0;844;718;"";242,974;36,45;456,766;63,7;20,927;0,92;1,603;0,23;13,863;1,91;3,117;10,0;3,658;10,0;4,479;10,05;638,957;72,36;202,318;29,77;14,166;11,28;1,47;10,0;1,401;10,0;0,0;10,0;2,708;23,86;0,53;32,305;3,34;7,003;0,63;6,478;1,32;969,817;1,0;"";"";20,368;2,53;74,543;15,4;"";"";31,89;12,61;54,5;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
04.01.2023 01:03:44;1672790624000;880f01e687e2572cea04e80fc6a68085;318354;OK;1805;0;0;0;0;0,01;-8,15;0;0;853;718;"";236,847;35,53;454,644;63,64;20,922;0,92;1,602;0,23;13,878;1,91;2,954;10,0;3,322;10,0;4,29;10,17;642,751;72,78;198,247;29,4;10,213;11,06;1,171;10,08;1,023;10,07;0,481;10,0;2,574;23,859;0,53;32,285;3,34;6,999;0,63;6,468;1,32;969,792;1,0;"";"";20,418;2,53;74,645;15,4;"";"";31,894;12,97;57,5;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
04.01.2023 01:05:44;1672790744000;880f01e687e2572cea04e80fc6a68085;318474;OK;1827;0;0;0;0;-0,0;-8,12;0;0;843;718;"";241,089;36,16;455,353;63,66;20,926;0,92;1,602;0,23;13,884;1,91;3,138;10,0;3,398;10,0;3,502;10,02;635,458;72,01;197,693;29,36;9,888;10,96;0,125;10,01;0,109;10,01;0,051;10,0;1,265;23,857;0,53;32,276;3,34;6,996;0,63;6,462;1,32;969,7639;1,0;"";"";20,331;2,53;74,647;15,4;"";"";31,348;12,92;53,7;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
04.01.2023 01:07:45;1672790865000;880f01e687e2572cea04e80fc6a68085;318594;OK;1825;0;0;0;0;-0,02;0,7;0;0;850;718;"";239,812;35,97;456,064;63,68;20,929;0,92;1,602;0,23;13,858;1,91;2,853;10,0;3,131;10,0;3,269;10,0;634,011;71,88;190,461;28,53;11,655;11,18;0,394;10,0;0,392;10,0;0,005;10,0;1,455;23,855;0,53;32,275;3,34;6,995;0,63;6,46;1,32;969,7249;1,0;"";"";20,364;2,53;74,517;15,4;"";"";33,922;11,82;55,4;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
04.01.2023 01:09:45;1672790985000;880f01e687e2572cea04e80fc6a68085;318715;OK;1812;0;0;0;0;-0,0;1,37;0;0;845;719;"";242,232;36,33;455,111;63,65;20,927;0,92;1,601;0,23;13,906;1,91;3,005;10,0;3,422;10,0;3,983;10,13;656,873;74,1;202,384;29,76;12,08;11,11;0,8809999;10,08;0,8809999;10,08;0,001;10,0;2,162;23,852;0,53;32,308;3,34;7,001;0,63;6,472;1,32;969,6879;1,0;"";"";20,383;2,53;74,468;15,39;"";"";30,829;13,36;53,7;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
04.01.2023 01:11:48;1672791108000;880f01e687e2572cea04e80fc6a68085;318837;OK;1827;0;0;0;0;-0,0;2,41;0;0;849;719;"";242,378;36,36;456,535;63,7;20,929;0,92;1,602;0,23;13,863;1,91;2,854;10,0;3,024;10,0;3,895;10,01;602,865;68,81;186,282;28,11;11,002;11,04;1,406;10,01;0,938;10,01;0,0;10,0;3,077;23,849;0,53;32,28;3,34;6,994;0,63;6,457;1,32;969,664;1,0;"";"";20,39;2,53;74,545;15,4;"";"";31,425;13,03;54,4;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
04.01.2023 01:13:48;1672791228000;880f01e687e2572cea04e80fc6a68085;318957;OK;1819;0;0;0;0;-0,01;-2,16;0;0;854;719;"";241,186;36,18;454,857;63,65;20,931;0,92;1,601;0,23;13,852;1,91;2,74;10,0;3,074;10,0;3,19;10,0;627,629;71,19;194,221;28,98;9,586;10,87;0,209;10,0;0,1;10,0;0,0;10,0;1,4;23,847;0,53;32,277;3,34;6,992;0,63;6,453;1,32;969,6509;1,0;"";"";20,367;2,53;74,412;15,39;"";"";30,676;13,0;56,5;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
04.01.2023 01:15:47;1672791347000;880f01e687e2572cea04e80fc6a68085;319076;OK;1825;0;0;0;0;-0,02;-1,04;0;0;831;719;"";240,164;36,02;454,849;63,65;20,924;0,92;1,601;0,23;13,844;1,91;3,384;10,0;4,075;10,21;4,088;10,21;705,138;78,84;217,389;31,22;15,905;11,61;0,575;10,0;0,011;10,0;0,0;10,0;1,237;23,845;0,53;32,277;3,34;6,992;0,63;6,452;1,32;969,6409;1,0;"";"";20,387;2,53;74,446;15,39;"";"";33,346;12,28;57,4;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
04.01.2023 01:17:48;1672791468000;880f01e687e2572cea04e80fc6a68085;319198;OK;1836;0;0;0;0;-0,0;-1,08;0;0;853;719;"";238,305;35,75;456,036;63,68;20,926;0,92;1,601;0,23;13,869;1,91;2,592;10,0;2,937;10,03;3,81;10,03;578,207;66,52;177,829;27,33;8,138;10,9;1,281;10,18;1,21;10,18;0,0;10,0;2,803;23,843;0,53;32,278;3,34;6,991;0,63;6,451;1,32;969,627;1,0;"";"";20,346;2,53;74,303;15,38;"";"";33,675;12,41;58,8;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
04.01.2023 01:19:48;1672791588000;880f01e687e2572cea04e80fc6a68085;319318;OK;1809;0;0;0;0;-0,0;3,27;0;0;843;719;"";241,361;36,2;455,244;63,66;20,93;0,92;1,601;0,23;13,798;1,91;3,13;10,0;3,544;10,0;3,923;10,0;629,126;71,41;193,917;28,86;7,542;10,7;0,524;10,02;0,516;10,02;0,0;10,0;1,888;23,84;0,53;32,28;3,34;6,99;0,63;6,449;1,32;969,6259;1,0;"";"";20,279;2,53;74,189;15,38;"";"";31,418;13,12;56,7;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
