DateTime;timestamp;DeviceID;uptime;Status;measuretime;person;window_open;window_event;door_event;dHdt;dCO2dt;bat;bat_e;health;performance;virus;tvoc;tvoc_e;co2;co2_e;oxygen;oxygen_e;co;co_e;o3;o3_e;pm1;pm1_e;pm2_5;pm2_5_e;pm10;pm10_e;cnt0_3;cnt0_3_e;cnt0_5;cnt0_5_e;cnt1;cnt1_e;cnt2_5;cnt2_5_e;cnt5;cnt5_e;cnt10;cnt10_e;TypPS;temperature;temperature_e;humidity;humidity_e;humidity_abs;humidity_abs_e;dewpt;dewpt_e;pressure;pressure_e;pressure_rel;pressure_rel_e;no2;no2_e;so2;so2_e;h2s;h2s_e;sound;sound_e;sound_max;tvoc_ionsc;tvoc_ionsc_e;radon;radon_e;n2o;n2o_e;no2_insplorion;no2_insplorion_e;ch4_MIPEX;ch4_MIPEX_e;c3h8_MIPEX;c3h8_MIPEX_e;flammable;ethanol;ethanol_e;iaq_spec;iaq_spec_e;resp_irr_spec;resp_irr_spec_e;nh3_MR100;nh3_MR100_e;acid_M100;acid_M100_e;h2_M1000;h2_M1000_e;no_M250;no_M250_e;cl2_M20;cl2_M20_e;ch2o_M10;ch2o_M10_e;pm1_SPS30;pm1_SPS30_e;pm2_5_SPS30;pm2_5_SPS30_e;pm4_SPS30;pm4_SPS30_e;pm10_SPS30;pm10_SPS30_e;cnt0_5_SPS30;cnt0_5_SPS30_e;cnt1_SPS30;cnt1_SPS30_e;cnt2_5_SPS30;cnt2_5_SPS30_e;cnt4_SPS30;cnt4_SPS30_e;cnt10_SPS30;cnt10_SPS30_e;TypPS_SPS30;br2;f2;hf;hcl;hcn;ch4s;clo2;cs2;ph3;sih4;c2h4;c2h4o;ash3;h2o2;refrigerant
12.12.2022 01:01:09;1670803269000;880f01e687e2572cea04e80fc6a68085;1140111;OK;1811;0;0;0;0;-0,04;4,25;0;0;567;738;"";43,787;6,57;419,406;62,58;20,908;0,86;1,401;0,19;15,733;1,79;6,478;10,92;7,922;11,0;8,405;11,0;1067,784;113,81;334,638;42,57;27,814;12,68;0,955;10,01;0,87;10,0;0,003;10,0;1,735;19,198;0,54;20,28;3,65;3,357;0,56;-3,982;2,23;948,665;1,0;"";"";22,721;2,34;80,67;12,73;"";"";13,0;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
12.12.2022 01:03:10;1670803390000;880f01e687e2572cea04e80fc6a68085;1140231;OK;1806;0;0;0;0;-0,04;-0,2;0;0;567;738;"";42,647;6,4;420,221;62,61;20,911;0,86;1,4;0,19;15,756;1,79;6,778;10,99;8,24;11,0;8,453;11,0;1099,041;116,82;340,231;43,06;28,469;12,73;0,551;10,04;0,284;10,0;0,0;10,0;1,43;19,174;0,54;20,281;3,65;3,353;0,56;-4,001;2,23;948,666;1,0;"";"";22,706;2,34;80,91201;12,75;"";"";13,125;19,94;21,6;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
12.12.2022 01:05:11;1670803511000;880f01e687e2572cea04e80fc6a68085;1140353;OK;1790;0;0;0;0;-0,04;-8,51;0;0;567;738;"";42,063;6,31;418,862;62,57;20,908;0,86;1,399;0,19;15,794;1,79;6,785;10,86;8,563;10,96;8,653;10,96;1103,514;117,33;342,665;43,34;38,005;13,73;0,934;10,12;0,029;10,0;0,0;10,0;1,37;19,147;0,54;20,282;3,65;3,347;0,56;-4,023;2,23;948,6589;1,0;"";"";22,729;2,34;80,826;12,74;"";"";13,013;19,99;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
12.12.2022 01:07:10;1670803630000;880f01e687e2572cea04e80fc6a68085;1140471;OK;1799;0;0;0;0;-0,04;-6,0;0;0;567;737;"";42,009;6,3;417,973;62,54;20,907;0,86;1,399;0,19;15,776;1,79;6,333;10,98;7,254;11,0;7,852;11,0;990,3649;106,26;308,994;40,05;28,358;12,83;0,933;10,01;0,837;10,0;0,29;10,0;1,822;19,123;0,54;20,283;3,65;3,343;0,56;-4,042;2,23;948,663;1,0;"";"";22,8;2,33;80,533;12,73;"";"";13,001;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
12.12.2022 01:09:11;1670803751000;880f01e687e2572cea04e80fc6a68085;1140593;OK;1782;0;0;0;0;-0,03;-2,48;0;0;567;737;"";40,871;6,13;419,807;62,59;20,906;0,86;1,397;0,19;15,818;1,79;6,525;10,96;7,66;11,0;8,44;11,0;1051,258;112,28;320,844;41,19;29,08;12,93;1,206;10,05;0,484;10,0;0,096;10,0;1,907;19,104;0,54;20,284;3,65;3,339;0,56;-4,057;2,23;948,6779;1,0;"";"";22,78;2,33;80,386;12,72;"";"";13,0;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
12.12.2022 01:11:11;1670803871000;880f01e687e2572cea04e80fc6a68085;1140712;OK;1811;0;0;0;0;-0,02;5,51;0;0;568;737;"";41,284;6,19;420,232;62,61;20,904;0,86;1,396;0,19;15,858;1,79;6,075;10,94;6,861;11,0;7,849;11,0;1010,537;108,19;314,114;40,61;22,785;12,18;1,461;10,1;0,829;10,09;0,125;10,0;2,119;19,073;0,54;20,317;3,65;3,339;0,55;-4,061;2,22;948,6899;1,0;"";"";22,78;2,33;80,344;12,72;"";"";13,0;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
12.12.2022 01:13:12;1670803992000;880f01e687e2572cea04e80fc6a68085;1140834;OK;1786;0;0;0;0;0,01;4,93;0;0;570;738;"";40,642;6,1;420,36;62,61;20,912;0,86;1,395;0,19;15,926;1,8;6,452;10,96;7,855;10,97;8,309;10,97;1071,882;114,29;332,834;42,36;31,646;13,1;2,387;10,25;0,716;10,01;0,012;10,0;1,606;19,048;0,54;20,4;3,65;3,347;0,55;-4,028;2,21;948,702;1,0;"";"";22,769;2,34;80,464;12,73;"";"";13,0;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
12.12.2022 01:15:13;1670804113000;880f01e687e2572cea04e80fc6a68085;1140954;OK;1806;0;0;0;0;0,02;3,26;0;0;570;737;"";40,667;6,1;421,482;62,64;20,914;0,86;1,396;0,19;15,878;1,8;6,704;10,97;8,031;11,0;8,269;11,0;1078,292;114,85;331,629;42,23;27,43;12,72;0,649;10,05;0,302;10,0;0,001;10,0;1,46;19,024;0,54;20,414;3,65;3,345;0,55;-4,039;2,21;948,716;1,0;"";"";22,812;2,33;80,339;12,72;"";"";13,0;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
12.12.2022 01:17:14;1670804234000;880f01e687e2572cea04e80fc6a68085;1141075;OK;1806;0;0;0;0;-0,0;8,01;0;0;570;737;"";42,058;6,31;422,645;62,68;20,911;0,86;1,396;0,19;15,872;1,8;6,427;10,96;7,244;11,0;8,929;11,0;1005,4;107,81;316,305;40,73;25,285;12,46;1,787;10,11;1,751;10,1;0,655;10,06;2,722;19,0;0,54;20,416;3,65;3,34;0,55;-4,057;2,21;948,741;1,0;"";"";22,743;2,34;80,221;12,71;"";"";13,0;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
12.12.2022 01:19:13;1670804353000;880f01e687e2572cea04e80fc6a68085;1141195;OK;1786;0;0;0;0;-0,03;3,75;0;0;570;737;"";41,779;6,27;421,123;62,63;20,912;0,86;1,394;0,19;15,829;1,79;6,224;10,97;7,728;11,0;8,425;11,0;1004,326;107,67;318,807;40,99;26,588;12,58;1,343;10,03;0,778;10,02;0,308;10,01;1,939;18,978;0,54;20,417;3,65;3,336;0,55;-4,075;2,21;948,724;1,0;"";"";22,853;2,33;80,01;12,7;"";"";13,0;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
