1674546603.000000, IBI
144.953125,0.875000
145.703125,0.750000
146.593750,0.890625
147.453125,0.859375
148.250000,0.796875
149.140625,0.890625
149.984375,0.843750
150.781250,0.796875
151.671875,0.890625
152.515625,0.843750
153.343750,0.828125
154.125000,0.781250
160.125000,0.875000
161.031250,0.906250
161.843750,0.812500
181.031250,0.765625
185.625000,0.906250
186.468750,0.843750
187.375000,0.906250
188.312500,0.937500
189.156250,0.843750
190.062500,0.906250
191.031250,0.968750
191.953125,0.921875
192.812500,0.859375
193.734375,0.921875
194.640625,0.906250
195.515625,0.875000
196.437500,0.921875
197.328125,0.890625
198.312500,0.984375
199.203125,0.890625
309.062500,0.734375
342.515625,0.890625
429.500000,0.687500
430.296875,0.796875
431.125000,0.828125
431.890625,0.765625
432.765625,0.875000
433.671875,0.906250
434.625000,0.953125
435.437500,0.812500
436.406250,0.968750
437.296875,0.890625
441.828125,0.921875
442.703125,0.875000
443.609375,0.906250
444.578125,0.968750
445.500000,0.921875
446.421875,0.921875
447.343750,0.921875
469.593750,0.937500
470.406250,0.812500
471.406250,1.000000
472.328125,0.921875
473.281250,0.953125
474.171875,0.890625
475.093750,0.921875
480.687500,0.875000
481.484375,0.796875
503.453125,1.046875
504.187500,0.734375
538.250000,0.375000
629.000000,0.781250
630.031250,1.031250
1185.140625,0.906250
1186.046875,0.906250
1186.968750,0.921875
1192.375000,0.890625
1193.296875,0.921875
1194.218750,0.921875
1195.140625,0.921875
1196.031250,0.890625
1196.937500,0.906250
1197.765625,0.828125
1346.531250,0.906250
1363.500000,0.953125
1369.046875,0.953125
1369.937500,0.890625
1370.828125,0.890625
1406.359375,0.656250
1422.093750,0.968750
1469.390625,0.875000
1470.406250,1.015625
1482.015625,0.812500
1495.343750,0.781250
1496.265625,0.921875
2010.843750,1.093750
2012.109375,1.265625
2135.765625,0.843750
2136.593750,0.828125
2137.468750,0.875000
2138.359375,0.890625
2139.234375,0.875000
2140.125000,0.890625
2141.046875,0.921875
2141.875000,0.828125
2309.203125,0.937500
2411.234375,0.343750
2411.718750,0.484375
2412.093750,0.375000
2412.546875,0.453125
2413.046875,0.500000
2413.406250,0.359375
2413.843750,0.437500
2414.265625,0.421875
2414.687500,0.421875
2415.140625,0.453125
2749.328125,0.578125
2749.937500,0.609375
2750.453125,0.515625
2896.515625,0.500000
