UNIX,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu,segment_indices,start,end
1677829223.0,101.23088984711877,592.7044609665428,190.7317035288815,160.77894091019036,255.353020969168,0.8571428571428571,0.7321428571428571,140.625,180.17339127282895,204.76147048583084,115901.42229557336,0.8799184282342641,0.26666666666666666,1265.7927860949708,4744.943635673616,14434.214272119005,0.3287289177103949,20444.950693887593,6.1912244497288205,23.208388744572552,70.60038680569862,24.74010411972109,75.2598958802789,"0, 15360",0,15360
1677829253.0,102.78372591006423,583.75,191.23031687185244,160.62248601186167,256.094056666816,0.8451327433628318,0.7256637168141593,171.875,180.78054757482175,206.1223128033769,117064.86726732622,0.8770547211318698,0.26666666666666666,1859.6442657429016,5956.761334736343,11687.7918453903,0.5096566925159356,19504.197445869544,9.534584906167074,30.540919980267237,59.9244951135657,33.75977432766925,66.24022567233075,"1920, 17280",1920,17280
1677829283.0,102.5856311420666,584.8772321428571,196.47580062031187,156.7907287435746,253.01995419773164,0.8504273504273504,0.7307692307692307,179.6875,178.24876483197173,215.75698223135024,120820.67587560299,0.8261552557350867,0.23333333333333334,1475.5146563314129,8103.712019132204,12131.057186065536,0.6680136689521682,21710.283861529155,6.796385831444792,37.326605542417916,55.87700862613728,40.0484529225596,59.9515470774404,"3840, 19200",3840,19200
1677829313.0,98.41965330213762,609.6343360995851,197.0158699822693,161.35479317019727,249.58149395404922,0.8351063829787234,0.6968085106382979,140.625,175.84333703395353,220.87271428526577,122016.30180359102,0.796129741978201,0.16666666666666666,1717.1696484789227,9772.969520359102,9208.583186315174,1.061289160625997,20698.7223551532,8.296017594783633,47.215327365005216,44.488655040211135,51.486670618482854,48.513329381517146,"5760, 21120",5760,21120
1677829343.0,93.65853658536585,640.625,183.64084059199178,152.80948656651202,218.16405278585972,0.7777777777777778,0.5902777777777778,109.375,153.70633932881353,213.9547706193749,103315.05869362711,0.718405758767851,0.16666666666666666,549.6926954184707,7737.101406803044,8887.73918663023,0.8705365047662421,17174.533288851744,3.200626684716288,45.049849545695174,51.74952376958854,46.53940206716423,53.46059793283576,"7680, 23040",7680,23040
1677829373.0,94.83488569009315,632.6785714285714,187.7146730263454,150.31446204540666,217.62657954624936,0.8,0.608,125.0,152.7292334492647,221.4956969107978,106276.52319276123,0.6895358942831871,0.16666666666666666,1598.9091348931452,5054.9913688119905,9777.756595192728,0.5169888736335794,16431.657098897864,9.73066274003728,30.76373453016524,59.505602729797474,34.07993839765336,65.92006160234665,"9600, 24960",9600,24960
1677829403.0,92.96389588581025,645.4118497109827,187.07337590834834,155.02138273028524,224.41704278694544,0.8032786885245902,0.6147540983606558,125.0,158.15749489284258,212.04880274630412,105359.93034793083,0.7458542224454939,0.2,3943.7986127655745,3320.7966745326503,13154.913783121665,0.2524377376606891,20419.50907041989,19.31387576050318,16.26286245707652,64.42326178242031,20.155711543169716,79.8442884568303,"11520, 26880",11520,26880
1677829433.0,90.3529411764706,664.0625,178.798373893457,140.84841854276598,203.3039310105973,0.7872340425531915,0.6063829787234043,125.0,141.78339970267032,214.487070301662,95538.05062176513,0.6610347164668774,0.16666666666666666,5181.812462494763,6397.229133708018,6832.524312308839,0.9362907237934545,18411.56590851162,28.144333231858482,34.745709112936424,37.10995765520509,48.35486284617089,51.64513715382911,"13440, 28800",13440,28800
1677829463.0,90.88381330685205,660.1835664335664,178.21438887269056,150.10345015538752,210.20011274254355,0.7912087912087912,0.5604395604395604,140.625,147.27769577457872,210.859268596417,97561.74269014799,0.6984644154128556,0.3333333333333333,2305.7566018247,4427.981281805684,5506.350143509641,0.8041590466281853,12240.088027140026,18.83774525732275,36.17605749229494,44.98619725038232,44.57251416559354,55.427485834406454,"15360, 30720",15360,30720
1677829493.0,84.83238065811834,707.2770979020979,160.08142332419743,118.96608752525728,156.36756329926786,0.7419354838709677,0.41935483870967744,93.75,110.30683240222554,181.07888403030563,62750.91971469565,0.6091645251346061,0.3,2307.7904856726577,2577.519833689454,10496.824692705422,0.24555233693486894,15382.135012067534,15.003057012970947,16.75658048552654,68.2403625015025,19.71433312382032,80.28566687617968,"17280, 32640",17280,32640
