UNIX,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu,segment_indices,start,end
1677657549.0,82.52844500632112,727.0220588235294,131.69868674597402,121.0416906771749,160.06670892145266,0.7252747252747253,0.5164835164835165,101.5625,112.39354705130943,132.20250700564213,46680.01006685778,0.8501619946323159,0.16666666666666666,884.8854413326014,2458.6957670745305,8157.305013694769,0.30141030192530327,11500.8862221019,7.694063085608717,21.378315719266194,70.92762119512508,23.160282462755795,76.83971753724418,"0, 15360",0,15360
1677657579.0,83.87218551975191,715.3742283950618,145.65464349966922,136.47579116315532,187.02539531391068,0.7631578947368421,0.5789473684210527,93.75,131.63607957608474,143.7972384332661,59466.90801269422,0.9154284255408344,0.0,1501.3329607809983,3403.2036657989474,5482.654772268557,0.6207218596021147,10387.191398848503,14.453694970398178,32.763463530442095,52.78284149915972,38.29909838783202,61.70090161216797,"1920, 17280",1920,17280
1677657609.0,82.81498297389331,724.5065789473684,138.59652918019412,129.03376572829382,175.60017534213534,0.7452830188679245,0.5377358490566038,93.75,123.82882666860831,132.4669314037171,51532.250175359506,0.9347904820956214,0.16666666666666666,1423.5623716999503,2510.5528828286997,4857.832327171049,0.5168051743545287,8791.947581699698,16.19166127267493,28.5551393419858,55.25319938533927,34.07195486226195,65.92804513773805,"3840, 19200",3840,19200
1677657639.0,83.02397411384027,722.6828231292517,135.06270217469597,126.30181486225761,171.23460240996852,0.73,0.53,93.75,120.63491701462308,132.78014311729748,50321.784655146665,0.9085313073360273,0.16666666666666666,1111.360390093269,1557.4137901704182,5192.6991708965725,0.2999237465746576,7861.47335116026,14.13679523481747,19.810711308212504,66.05249345697001,23.07241077524483,76.92758922475517,"5760, 21120",5760,21120
1677657669.0,85.14759896612706,704.6587423312883,144.03161935396346,137.70607038738538,193.2273848317873,0.7521367521367521,0.5811965811965812,109.375,135.58277418287528,144.00343650368325,61337.66577945246,0.9415245738208992,0.16666666666666666,884.977537245346,1623.1363854432318,5840.4654434179465,0.27791216319453865,8348.579366106525,10.600336876932241,19.44206689862498,69.95759622444277,21.747360358462416,78.25263964153758,"7680, 23040",7680,23040
1677657699.0,84.49207029575653,710.1258116883117,150.77714637390955,149.4215337596062,201.68641957404154,0.7064220183486238,0.5321100917431193,93.75,141.26568682431625,152.14915160570675,67523.67844744527,0.9284684491071307,0.2,845.1205690928767,2046.769586035283,6763.571112682446,0.3026167023212579,9655.461267810606,8.752772608703236,21.198050815643654,70.04917657565312,23.2314465016452,76.7685534983548,"9600, 24960",9600,24960
1677657729.0,84.92721164613661,706.4873417721519,148.1831991831362,147.7046023254626,205.62919148846993,0.7706422018348624,0.5779816513761468,93.75,144.35277597922246,151.74811114376996,68817.40732538473,0.951265718506763,0.16666666666666666,1232.3657857511384,3421.024636513889,7028.188417561445,0.48675767256975083,11681.578839826472,10.549650887511751,29.285635815344186,60.16471329714406,32.739543339865605,67.26045666013438,"11520, 26880",11520,26880
1677657759.0,86.4381344710902,694.1380718954248,158.17535989470156,149.12210548322471,219.86323874172325,0.85,0.63,125.0,153.2646047282281,158.14537912155384,76146.20240436317,0.9691374201355939,0.2,987.7627449248905,5841.433774954886,6584.202094588186,0.8871893193795175,13413.398614467962,7.3640005289894965,43.549244623612374,49.08675484739813,47.011145637005484,52.98885436299452,"13440, 28800",13440,28800
1677657789.0,84.8104873183243,707.4596774193549,151.52675089565116,141.57261973764307,213.0010942362347,0.8796296296296297,0.6666666666666666,109.375,149.7224588749876,155.77210653991636,73270.05483526347,0.9611634727211027,0.16666666666666666,707.0415589195368,5131.462838574331,5617.082736244924,0.9135458884133805,11455.58713373879,6.172023752821631,44.79441148381857,49.03356476335981,47.740997168918085,52.25900283108191,"15360, 30720",15360,30720
1677657819.0,86.10103806228373,696.8557098765432,153.402485771934,138.20292772464418,204.27450093674085,0.8727272727272727,0.6363636363636364,109.375,142.66501954864435,156.4236186752754,70108.34279678199,0.9120427001807639,0.16666666666666666,377.4544255129633,3714.9536849147653,7780.126207579641,0.4774927277266456,11872.534318007369,3.1792237057632153,31.290317512750438,65.53045878148636,32.31777177416928,67.68222822583073,"17280, 32640",17280,32640
1677657849.0,82.23733938019652,729.5955882352941,143.9760756104409,131.71236684469764,182.45480411421028,0.7983870967741935,0.5403225806451613,109.375,128.16438757638463,162.57599354704732,65459.646564507595,0.7883352565167967,0.2,234.52946031617503,2268.55919170021,8193.802783605528,0.2768628012672247,10696.891435621914,2.1925010805958465,21.207649019841774,76.59984989956236,21.683050128208897,78.3169498717911,"19200, 34560",19200,34560
1677657879.0,80.58434782608695,744.5614640883978,146.18419956862448,122.85890664295707,166.7583460144801,0.746268656716418,0.48507462686567165,109.375,116.44745140599456,162.42700289003287,59420.74483711593,0.7169217515195573,0.16666666666666666,697.7039394219591,3265.518072209262,6691.020501723371,0.48804484627840844,10654.242513354591,6.548602010395578,30.649931875645674,62.80146611395875,32.79772430911647,67.20227569088351,"21120, 36480",21120,36480
1677657909.0,78.37643511538907,765.5362215909091,141.21067628829445,116.37693516922064,155.69514356120672,0.7313432835820896,0.47761194029850745,109.375,109.62498507095857,154.4846293495992,53204.05027057178,0.7096174262287084,0.13333333333333333,1491.5604547177966,2856.404371146595,5920.646874086047,0.4824480216255981,10268.61169995044,14.52543438491296,27.81685055985106,57.657715055235975,32.54400927302418,67.45599072697583,"23040, 38400",23040,38400
1677657939.0,77.61139182361048,773.0823863636364,141.61734135690605,106.41144034018704,146.2849810858513,0.75,0.48484848484848486,101.5625,103.37934749049377,155.44353256140548,50484.297426241035,0.6650604614228991,0.16666666666666666,1979.5749280906691,3162.027947788063,5440.836587801031,0.5811657631618061,10582.439463679762,18.706224919923372,29.879953092484328,51.41382198759231,36.755524101386285,63.24447589861371,"24960, 40320",24960,40320
1677657969.0,73.68354828562441,814.2930327868852,124.50052920294408,95.52326127861848,127.66554499672316,0.7172413793103448,0.4413793103448276,93.75,90.2267248833448,129.481208953489,36702.175850937325,0.6968325798977919,0.0,962.2001167674011,5043.147097242851,2355.299178577382,2.1411917191296896,8360.646392587634,11.508680927116671,60.32006211522107,28.17125695766225,68.16494854771031,31.8350514522897,"26880, 42240",26880,42240
1677657999.0,72.15502055196711,831.54296875,115.78376111779387,84.1650608760059,110.14441857934696,0.6666666666666666,0.4025157232704403,78.125,77.86448891998317,126.57595109611164,30962.820099055418,0.615160212075824,0.13333333333333333,452.7699600384366,3922.205803545452,2514.511045484433,1.5598284249293564,6889.486809068321,6.571896754958234,56.930304277276925,36.497798967764844,60.93488179671272,39.065118203287284,"28800, 44160",28800,44160
1677658029.0,71.91807362302795,834.2826354679803,115.59479507038651,80.54769712548497,102.8028055057494,0.6470588235294118,0.34705882352941175,78.125,72.64835771679081,127.46456942603344,29091.435854846368,0.569949422368292,0.13333333333333333,489.95974292778794,3556.0541844236927,2078.3804109093585,1.7109736820834471,6124.3943382608395,8.000133823305099,58.06376905236175,33.93609712433314,63.11288425229284,36.88711574770717,"30720, 46080",30720,46080
1677658059.0,70.69963177275118,848.6607142857143,108.4208870755617,75.46084538783828,97.5435295590629,0.6132596685082873,0.34806629834254144,62.5,68.97325903594427,123.86500839112658,26839.798825216752,0.5568421617358511,0.13333333333333333,745.2916219973454,3531.1823125136893,2222.2366114010947,1.5890217515079637,6498.710545912129,11.468300007086093,54.33666090475289,34.19503908816101,61.37537278636015,38.624627213639855,"32640, 48000",32640,48000
1677658089.0,70.3796521413877,852.5191326530612,108.19715483811963,81.3687890518153,106.32665946163237,0.6503067484662577,0.38650306748466257,62.5,75.14897242023292,118.60368248242118,28000.842105994903,0.6336141580711131,0.13333333333333333,343.37928403812737,5248.997224904152,1694.0224793695165,3.098540479142715,7286.398988311796,4.712606111591561,72.03828987850012,23.249104009908315,75.60107054965165,24.39892945034834,"34560, 49920",34560,49920
