UNIX,EDA
1678262310.0,0.039728
1678262310.25,0.060233
1678262310.5,0.067923
1678262310.75,0.074331
1678262311.0,0.079457
1678262311.25,0.083302
1678262311.5,0.085865
1678262311.75,0.089709
1678262312.0,0.088428
1678262312.25,0.094836
1678262312.5,0.090991
1678262312.75,0.084583
1678262313.0,0.080738
1678262313.25,0.084583
1678262313.5,0.087146
1678262313.75,0.088428
1678262314.0,0.088428
1678262314.25,0.094836
1678262314.5,0.09868
1678262314.75,0.101243
1678262315.0,0.094836
1678262315.25,0.048699
1678262315.5,0.052544
1678262315.75,0.078175
1678262316.0,0.093554
1678262316.25,0.094836
1678262316.5,0.102525
1678262316.75,0.110214
1678262317.0,0.111496
1678262317.25,0.107651
1678262317.5,0.088428
1678262317.75,0.088428
1678262318.0,0.092273
1678262318.25,0.093554
1678262318.5,0.093554
1678262318.75,0.047418
1678262319.0,0.06536
1678262319.25,0.067923
1678262319.5,0.073049
1678262319.75,0.08202
1678262320.0,0.090991
1678262320.25,0.096117
1678262320.5,0.099962
1678262320.75,0.101243
1678262321.0,0.101243
1678262321.25,0.102525
1678262321.5,0.101243
1678262321.75,0.105088
1678262322.0,0.10637
1678262322.25,0.105088
1678262322.5,0.105088
1678262322.75,0.107651
1678262323.0,0.108933
1678262323.25,0.111496
1678262323.5,0.116622
1678262323.75,0.108933
1678262324.0,0.111496
1678262324.25,0.116622
1678262324.5,0.135846
1678262324.75,0.160195
1678262325.0,0.165322
1678262325.25,0.165322
1678262325.5,0.158914
1678262325.75,0.167885
1678262326.0,0.170448
1678262326.25,0.170448
1678262326.5,0.166603
1678262326.75,0.167885
1678262327.0,0.171729
1678262327.25,0.169166
1678262327.5,0.16404
1678262327.75,0.165322
1678262328.0,0.152506
1678262328.25,0.160195
1678262328.5,0.161477
1678262328.75,0.167885
1678262329.0,0.167885
1678262329.25,0.169166
1678262329.5,0.167885
1678262329.75,0.170448
1678262330.0,0.170448
1678262330.25,0.173011
1678262330.5,0.167885
1678262330.75,0.170448
1678262331.0,0.171729
1678262331.25,0.170448
1678262331.5,0.169166
1678262331.75,0.169166
1678262332.0,0.171729
1678262332.25,0.170448
1678262332.5,0.165322
1678262332.75,0.167885
1678262333.0,0.165322
1678262333.25,0.175574
