datetime,UNIX,EDA,EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime
2023-02-21 07:50:00,1676965855.7333333,0.023110866666666667,0.023110866666666667,0.023122650600000003,0.006606783233333333,0.016515867466666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-21 07:51:00,1676965889.5,0.24744865,0.24744865,0.2473614999125,0.2600037695625,-0.01264226965416667,0.0375,0.03333333333333333,0.021473523570833333,0.025532886379166668,0.011458333333333333,0.0125,0.024581589958158997
2023-02-21 07:52:00,1676965949.5,0.7761330333333334,0.7761330333333334,0.7762216458500001,0.7646682858916667,0.0115533599875,0.020833333333333332,0.025,0.006497322320833334,0.013869254224999999,0.00625,0.0125,0.0
2023-02-21 07:53:00,1676966009.5,0.493778,0.493778,0.49377522316666667,0.49391306786666667,-0.00013784467083333339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-21 07:54:00,1676966069.5,0.32598675416666667,0.32598675416666667,0.32598642537083333,0.3260178307833333,-3.14052625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-21 07:55:00,1676966129.5,0.20449992916666665,0.20449992916666665,0.2044991908,0.20437393790416666,0.00012525342916666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-21 07:56:00,1676966189.5,0.14898162499999998,0.14898162499999998,0.14898198801666668,0.14906797400833333,-8.59861875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-21 07:57:00,1676966249.5,0.13571212083333334,0.13571212083333334,0.13571408321666667,0.13570539083333333,8.691962499999983e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-21 07:58:00,1676966309.5,0.13514605,0.13514605,0.13514507769583334,0.13512290477083333,2.2172675e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-21 07:59:00,1676966369.5,0.1393271875,0.1393271875,0.13932845900416665,0.139404620075,-7.616059583333329e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-21 08:00:00,1676966429.5,0.13778925416666665,0.13778925416666665,0.13778612123749998,0.137726276675,5.984474583333333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-21 08:01:00,1676966489.5,0.15318937916666667,0.15318937916666667,0.15319226685416665,0.15373340495416665,-0.0005411383375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-21 08:02:00,1676966549.5,0.25416055,0.25416055,0.2541628295166667,0.2533160295625,0.0008467998625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-21 08:03:00,1676966609.5,0.3414188541666666,0.3414188541666666,0.34141414605,0.3411815845125,0.0002325616041666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-21 08:04:00,1676966669.5,0.39139444166666665,0.39139444166666665,0.3913967647541667,0.3970900961875,-0.005693331291666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-21 08:05:00,1676966729.5,0.2379209875,0.2379209875,0.2379880203958333,0.2568199090125,-0.018831888633333335,0.004166666666666667,0.004166666666666667,0.0013008249291666667,0.0017785605083333333,0.0020833333333333333,0.004166666666666667,0.0010416666666666667
