UNIX,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu,segment_indices,start,end
1677138482.0,97.92642140468227,612.7049180327868,161.75286238628735,133.4686625379032,226.3840455159974,0.918918918918919,0.7837837837837838,140.625,158.93280950494383,160.96729961794387,80371.3182566136,0.9873608483348549,0.3,187.12383629842574,5840.105248125722,10355.898567690274,0.5639399816396877,16383.127652114421,1.1421740724474876,35.64707162232233,63.21075430523019,36.05892734121638,63.941072658783625,"0, 15360",0,15360
1677138512.0,98.28468792096992,610.4714912280701,160.3320841335283,131.9985171996239,224.80460265528373,0.9076923076923077,0.7692307692307693,132.8125,156.21726728148042,156.76450055849705,76935.47372215294,0.9965092015407376,0.16666666666666666,144.12771760178026,4792.981301611494,6902.121284461495,0.6944214834940333,11839.230303674769,1.217374051394579,40.48389277573057,58.298733172874854,40.98280683163202,59.017193168367974,"1920, 17280",1920,17280
1677138542.0,94.07572383073497,637.7840909090909,153.11946566149848,125.53508267708085,200.60393794932006,0.8591549295774648,0.7183098591549296,109.375,140.04227636258884,149.38324518308693,65722.02314128293,0.9374697690557624,0.3,422.5857413789332,3668.55516109855,5742.44072590232,0.6388494607442557,9833.581628379803,4.29737360555738,37.30639862195344,58.396227772489176,38.98158287547247,61.018417124527524,"3840, 19200",3840,19200
1677138572.0,95.1009365244537,630.9086134453781,146.09870495909445,126.14031666147325,201.52794106379335,0.8529411764705882,0.7205882352941176,109.375,141.96574664769324,139.759915416911,62332.719167019684,1.015783003475654,0.16666666666666666,348.6288416836081,3283.179692680623,3984.3602427343403,0.8240167787708574,7616.168777098572,4.577483139973435,43.1080217464846,52.31449511354195,45.17594291682635,54.82405708317364,"5760, 21120",5760,21120
1677138602.0,90.75925538590253,661.0896017699115,149.84204853858492,128.8256067121423,215.80498857709028,0.8387096774193549,0.7580645161290323,93.75,152.5737573530705,137.4614577476402,65888.65759475058,1.1099384500430247,0.23333333333333334,278.1402937467292,2040.028693890488,8818.760439035239,0.23132828111086148,11136.929426672457,2.4974594261196934,18.3176943638047,79.18484621007559,18.786889301540704,81.21311069845929,"7680, 23040",7680,23040
1677138632.0,91.32502831257078,656.9940476190476,159.62206018437945,132.47781494581145,226.77057451510126,0.8831168831168831,0.8051948051948052,109.375,160.23226346357123,137.3185860976295,69124.04804585963,1.1668650837232681,0.26666666666666666,272.0026736084659,2022.5490096021808,7415.718578334665,0.2727381019435046,9710.270261545313,2.8011854076364173,20.828967218470684,76.36984737389288,21.429239961232113,78.57076003876789,"9600, 24960",9600,24960
1677138662.0,92.6896551724138,647.3214285714286,159.09401501076303,144.6923207008644,239.76709387398282,0.8876404494382022,0.797752808988764,117.1875,169.4645207934624,139.526019860423,74282.04752714891,1.2145728872864636,0.23333333333333334,299.0172687140572,2857.7008371667707,10024.441601958892,0.2850733188578148,13181.159707839719,2.2685201859454867,21.680192794167453,76.05128701988706,22.18342834408784,77.81657165591216,"11520, 26880",11520,26880
1677138692.0,90.73263558515698,661.2835570469799,154.0562063976304,127.30934135013301,222.30282660272502,0.8979591836734694,0.8163265306122449,109.375,157.1917957382606,141.44156067781307,69848.45234159674,1.1113550712037508,0.26666666666666666,381.44390468110976,4115.554907669567,10712.314669433985,0.3841891350907286,15209.313481784662,2.5079626712799605,27.059439024637996,70.43259830408203,27.755537545492032,72.24446245450797,"13440, 28800",13440,28800
1677138722.0,89.04021132961549,673.8528481012659,149.4540079697344,129.29346968758662,207.8938817556413,0.8761904761904762,0.7238095238095238,109.375,146.99775048605056,145.08722526009473,67002.30392838763,1.0131681147153437,0.3,623.5794980250054,5999.120821957461,9742.598012863835,0.6157619162810989,16365.298332846301,3.8103765989614597,36.657570793664085,59.53205260737446,38.109693642140094,61.89030635785991,"15360, 30720",15360,30720
1677138752.0,85.70365778053316,700.0868055555555,135.8176876835716,125.5793887947005,178.5700950252202,0.7941176470588235,0.5588235294117647,85.9375,126.26788990181848,134.18662703653692,53229.45652766419,0.9409871362772813,0.26666666666666666,1294.2181860789774,4077.1562045884875,7557.348065701214,0.5394956232190141,12928.72245636868,10.010410467442949,31.5356464519051,58.453943080651946,35.043660734218506,64.9563392657815,"17280, 32640",17280,32640
1677138782.0,83.97008837525493,714.5401554404145,137.92286251423624,126.76045469198095,172.8395111302108,0.7894736842105263,0.5197368421052632,78.125,122.21544998898327,144.48735760932274,55476.088536397314,0.8458556652370918,0.26666666666666666,1104.120301552931,2308.4377450626557,4765.430839006054,0.4844132299996061,8177.988885621641,13.501122549752678,28.227450261289786,58.27142718895753,32.63331397280356,67.36668602719644,"19200, 34560",19200,34560
1677138812.0,80.74766355140187,743.0555555555555,125.5087749976508,115.46421077708177,151.74366467446217,0.7397260273972602,0.4383561643835616,62.5,107.22679185143551,132.67043422587244,44691.74742302305,0.8082191972695368,0.23333333333333334,729.3920848443405,1098.4815871454798,3507.6847268852507,0.3131642871795117,5335.558398875071,13.670398303542564,20.587940474554255,65.74166122190317,23.84806609781809,76.15193390218191,"21120, 36480",21120,36480
1677138842.0,80.06843455945253,749.3589743589744,122.10013617025255,113.94746878694497,148.13143209284857,0.7243589743589743,0.4166666666666667,46.875,104.68244299235282,127.16051649618935,41819.22741571556,0.8232307156088806,0.26666666666666666,865.018976281701,732.1021017776835,2054.8078989623887,0.35628736980589343,3651.9289770217733,23.68663196147759,20.046997254988472,56.26637078353393,26.269312664681372,73.73068733531863,"23040, 38400",23040,38400
1677138872.0,79.12402946446348,758.3031400966183,118.04884682928645,103.24611677297163,131.2329478010064,0.7023809523809523,0.38095238095238093,62.5,91.9594913807869,126.56628839122914,36564.90737988306,0.7265717636953283,0.26666666666666666,1175.2523810431849,711.4784305077076,1398.7948649793125,0.508636718878883,3285.5256765302047,35.77060406005871,21.654934417042494,42.5744615228988,33.71498999817978,66.28501000182024,"24960, 40320",24960,40320
1677138902.0,77.48241392077009,774.3692660550458,100.67217807543527,86.81572005099672,107.52141509710378,0.6358695652173914,0.2826086956521739,39.0625,75.80568914474958,104.81993465830743,24962.929923868785,0.7231991642797847,0.26666666666666666,1008.2539852732657,1134.9517994822497,1890.9913375476324,0.6001887882543837,4034.197122303148,24.992680196490927,28.13327571941499,46.87404408409408,37.507373671147796,62.492626328852204,"26880, 42240",26880,42240
1677138932.0,76.18417789534595,787.5651041666666,91.1298116498839,81.7245083456124,99.54246712648781,0.6186046511627907,0.23255813953488372,46.875,70.33243099823642,93.01096280510959,20551.316209490156,0.7561735614500347,0.23333333333333334,825.1481451677362,1793.877251810369,2829.6872085257746,0.6339489560561545,5448.71260550388,15.143910220814977,32.92295596575104,51.93313381343397,38.79857774665805,61.20142225334197,"28800, 44160",28800,44160
1677138962.0,74.60500963391138,804.2355371900826,75.71367519879168,71.85255932089895,85.79076818611256,0.5642201834862385,0.18807339449541285,31.25,60.57094283695029,75.10544547650949,14291.757316248264,0.8064787107333633,0.26666666666666666,519.0585256407161,1663.0738278480826,2362.350666042821,0.7039910931741142,4544.48301953162,11.421728795329797,36.59544596602956,51.982825238640636,41.314247239564665,58.685752760435335,"30720, 46080",30720,46080
1677138992.0,73.93049437102302,811.5730932203389,77.30749109644486,73.10144267911612,86.55671799281382,0.5336538461538461,0.1971153846153846,31.25,61.12455315168711,71.63597582232752,13756.14519618338,0.8532661480495362,0.26666666666666666,316.1728552924985,832.7324319249018,1547.136909766241,0.5382409447207361,2696.042196983641,11.727296243591287,30.88721804341828,57.385485712990445,34.99067857789031,65.00932142210969,"32640, 48000",32640,48000
1677139022.0,73.92943450942484,811.5847280334729,84.30196404764274,89.3315702287007,105.16340686613185,0.5560747663551402,0.2102803738317757,31.25,74.28831057267608,76.83975346045484,17933.13911118107,0.9667952749341935,0.16666666666666666,535.5741704702766,539.629532620237,1265.864335230426,0.4262933377627769,2341.068038320939,22.87734323409076,23.050570243454782,54.07208652245448,29.888195259429768,70.11180474057024,"34560, 49920",34560,49920
1677139052.0,74.32865076772296,807.2257383966245,73.13998010565503,69.80070493480407,82.04353288544729,0.5377358490566038,0.1509433962264151,31.25,57.91455186522285,64.55717943907412,11745.786980483508,0.8971047429338165,0.16666666666666666,740.873110164328,583.7853709970498,776.1855598808057,0.7521208859988303,2100.8440410421836,35.26549785184419,27.788134654081528,36.94636749407427,42.926312448474086,57.073687551525914,"36480, 51840",36480,51840
1677139082.0,74.43626869214337,806.0586734693877,72.13216019546903,79.26608943714523,92.33847164331944,0.5491071428571429,0.16071428571428573,31.25,65.0795133454616,67.51596179904439,13803.862612031988,0.9639130008865953,0.3,570.6012720255623,588.7918778832948,891.7335166071439,0.6602778374009339,2051.126666516001,27.818919296426152,28.705778511641302,43.47530219193254,39.7691171035903,60.2308828964097,"38400, 53760",38400,53760
1677139112.0,75.21617963213632,797.7007113821138,73.1271891618809,79.61115245555447,92.8877104448248,0.5291479820627802,0.14798206278026907,31.25,65.65863503860186,71.68394837136672,14786.440536515212,0.9159461292289586,0.23333333333333334,477.85404615994514,601.6863862819624,1318.2165264812295,0.45643972306133124,2397.756958923137,19.92921110630643,25.093718695834266,54.9770701978593,31.33941733626489,68.6605826637351,"40320, 55680",40320,55680
1677139142.0,75.74586997616504,792.1223958333334,82.52453269072466,84.53069009303135,98.10037092775333,0.5302325581395348,0.16744186046511628,31.25,69.36589568693721,79.50687682636345,17326.089963625316,0.8724515218781222,0.2,423.3588233218141,1191.1825502503305,1168.8951625080012,1.0190670544777591,2783.4365360801457,15.209932679766478,42.79539105022482,41.9946762700087,50.47217486995971,49.527825130040306,"42240, 57600",42240,57600
1677139172.0,75.79803456455438,791.5772532188842,95.19306146704217,91.09043129000366,108.22553377623952,0.5588235294117647,0.23039215686274508,31.25,76.52652970844521,93.42144733849422,22459.93440815502,0.8191537584636898,0.16666666666666666,430.3640652248614,2238.9202535233053,1708.2385966002137,1.3106601489857856,4377.522915348381,9.831223583454646,51.14582600294904,39.0229504135963,56.72232455132233,43.277675448677655,"44160, 59520",44160,59520
1677139202.0,75.76531942633638,791.9190528634361,92.53272571402881,79.14473205517508,95.25916456861893,0.5663265306122449,0.2193877551020408,31.25,67.33573013481681,93.88025004070374,19859.562822626092,0.7172512866723513,0.16666666666666666,655.7589516820793,3104.874907572359,1883.9025840512434,1.648107993405621,5644.536443305682,11.61758734784674,55.00672975997319,33.37568289218006,62.23718962783153,37.76281037216846,"46080, 61440",46080,61440
1677139232.0,75.84370974667239,791.1005434782609,92.76879504415135,79.07917314312283,97.59060293516994,0.635,0.235,31.25,68.98963916777649,93.46597601199593,20257.567356260184,0.7381257021156231,0.16666666666666666,714.5721998278925,3685.521285826555,2746.576551660872,1.3418600270208734,7146.67003731532,9.998673453466518,51.56976978905043,38.43155675748305,57.298899658314774,42.70110034168523,"48000, 63360",48000,63360
1677139262.0,76.6027397260274,783.2618025751073,99.07605144605472,86.03389480133687,105.33846119176984,0.605,0.245,46.875,74.47373960413832,99.29782773933174,23232.330779841654,0.7500037140756037,0.16666666666666666,810.7163928292937,3106.439675131109,3570.424763393278,0.8700476500669336,7487.580831353681,10.827481012752207,41.4878950237589,47.684623963488896,46.5254267737933,53.474573226206694,"49920, 65280",49920,65280
1677139292.0,75.85185185185185,791.015625,95.98173730707512,77.49594444583295,95.87852718676123,0.5879396984924623,0.23115577889447236,46.875,67.74611968534825,100.94268865801837,21483.704289468573,0.6711344881536088,0.16666666666666666,743.3817442800345,2066.219943645644,2669.083281322825,0.7741309378033361,5478.684969248503,13.568616345940443,37.713793642875984,48.71759001118358,43.63437451588757,56.36562548411242,"51840, 67200",51840,67200
1677139322.0,74.84164365762547,801.6927083333334,90.68998732494266,67.13093942762447,82.90228534301295,0.5566037735849056,0.20754716981132076,31.25,58.60742282919423,95.36422840446622,17558.523625789345,0.6145640122061686,0.16666666666666666,492.8534104983993,1460.5356150501777,1708.6523016525355,0.8547880769174688,3662.041327201113,13.45843387505093,39.88310028621279,46.65846583873626,46.08548478153193,53.91451521846807,"53760, 69120",53760,69120
1677139352.0,73.44835662424858,816.9005102040817,75.94252147919006,56.115067976248405,69.89286061601778,0.545045045045045,0.17117117117117117,31.25,49.40958586140893,75.65403665328057,11743.382100372843,0.6530991345227365,0.16666666666666666,506.8900388101713,1641.0539274250264,1040.0739718335421,1.5778242431468783,3188.01793806874,15.899849017701536,51.47568047936254,32.62447050293593,61.2075957987248,38.79240420127518,"55680, 71040",55680,71040
1677139382.0,72.45834284409952,828.061995967742,62.09701838483289,51.10020141710993,63.83277249836158,0.521551724137931,0.14655172413793102,31.25,45.12653588674608,61.07048110122595,8657.912859935734,0.7389255016993832,0.2,474.58550515920706,1189.1927844896827,1061.4048532671372,1.1203950884803269,2725.183142916027,17.414811418926746,43.63716939835504,38.94801918271821,52.8389777248214,47.161022275178595,"57600, 72960",57600,72960
1677139412.0,72.36912412448552,829.0828544061303,56.79990059379851,53.385796705372165,64.27053652272832,0.4798387096774194,0.11693548387096774,31.25,45.44298766452159,56.67393935995134,8090.961792330478,0.8018321679723202,0.26666666666666666,291.70991247573295,1020.9618295634128,837.680764059669,1.218795838901093,2150.352506098815,13.56567872701742,47.4788122723027,38.95550900067986,54.93050859085477,45.069491409145236,"59520, 74880",59520,74880
1677139442.0,72.65013616167407,825.875946969697,59.781446761885555,56.91041755914223,68.48520629359086,0.4860557768924303,0.12749003984063745,31.25,48.414829203710056,59.899854406382545,9110.748193154264,0.808262886170743,0.26666666666666666,156.4128256461541,704.0647409616686,727.6125060006747,0.9676369429541055,1588.0900726084974,9.849115509502568,44.334055927017786,45.816828563479646,49.17761614606334,50.82238385393664,"61440, 76800",61440,76800
