1673423370.000000, 1673423370.000000, 1673423370.000000
32.000000, 32.000000, 32.000000
-26,-16,-57
-24,-17,-58
-25,-16,-56
-26,-17,-57
-27,-16,-62
-32,-15,-62
-41,-12,-59
-43,-11,-60
-44,-9,-57
-35,-10,-38
-42,-10,-23
-29,-5,-5
-31,7,42
-29,-6,37
-42,-2,32
-59,4,35
-53,3,40
-61,1,43
-66,-1,49
-66,-3,51
-68,-5,45
-69,-6,43
-66,-6,42
-59,-4,38
-61,-1,29
-68,1,13
-65,1,9
-61,2,3
-57,9,1
-55,11,-2
-52,10,-19
-53,9,-27
-54,8,-36
-52,8,-38
-49,8,-38
-51,6,-40
-53,6,-40
-59,7,-39
-59,8,-39
-55,9,-35
-54,7,-33
-55,7,-36
-56,9,-35
-55,10,-31
-61,12,-32
-62,15,-28
-60,15,-30
-48,18,-15
-51,18,-10
-51,21,-2
-47,17,7
-53,17,8
-61,21,12
-65,26,11
-69,29,18
-62,29,20
-92,23,0
-75,24,1
-70,34,0
-48,35,-3
-55,31,-15
-57,32,-15
-52,27,-19
-73,30,-34
-46,32,-10
-42,27,-11
-62,21,-31
-22,32,11
-26,34,2
-50,29,-29
-68,37,-26
-61,44,-39
-47,43,-34
-47,31,-31
-23,28,-8
-24,31,-5
-23,41,-22
-28,58,-38
-29,67,-30
-30,66,-61
-28,70,-52
-50,58,-24
-57,46,-9
-62,39,-19
-57,33,-29
-54,34,-17
-56,32,-8
-62,32,-5
-57,36,-5
-68,38,-5
-70,40,-2
-67,46,1
-65,48,2
-57,50,6
-45,46,11
-40,43,13
-34,42,16
-32,43,17
-27,45,18
-22,47,20
-22,49,24
-21,51,26
-22,51,23
-21,49,18
-22,50,16
-23,54,14
-26,67,11
-29,73,10
-35,81,9
-37,81,10
-37,76,10
-33,70,8
-32,69,7
-35,68,6
-36,68,8
-36,60,11
-36,55,13
-35,53,14
-33,53,11
-34,55,11
-35,54,10
-42,53,13
-38,54,15
-43,59,10
-42,62,12
-34,68,13
-39,74,10
-33,74,17
-26,76,14
-26,76,12
-24,75,17
-19,72,13
-15,66,10
-11,57,18
-9,55,26
0,53,17
-8,48,14
-7,48,29
-4,47,31
-11,47,30
-22,47,29
-23,49,33
-21,48,35
-27,45,35
-30,48,38
-34,52,36
-35,49,36
-32,48,36
-31,47,41
-29,46,41
-31,40,35
-33,39,35
-25,44,37
-24,46,38
-25,47,39
-25,47,40
-21,47,38
-23,47,36
-22,44,39
-21,45,38
-24,47,40
-24,47,40
-24,46,39
-26,44,39
-27,45,40
-29,44,40
-28,44,39
-28,45,37
-28,44,37
-30,43,38
-30,44,38
-30,44,38
-24,44,40
-22,45,39
-21,48,40
-20,50,39
-19,50,39
-21,49,38
-18,50,39
-15,47,38
-14,46,39
-16,45,40
-19,46,38
-16,48,39
-17,48,40
-20,47,39
-28,44,35
-30,47,34
-29,47,38
-28,47,38
-31,46,35
-37,45,34
-33,47,33
-32,48,30
-32,49,26
-32,47,23
-21,38,30
-21,52,32
-27,57,27
-20,59,28
-21,59,28
-18,56,25
-16,61,25
-14,67,26
-14,66,25
-13,65,26
-13,63,26
-10,59,28
-5,59,27
-13,59,10
-16,58,9
-28,58,3
-30,58,1
-34,57,1
-31,60,3
-27,58,4
-26,58,5
-27,61,6
-29,66,8
-32,62,3
-35,63,10
-29,63,13
-34,63,12
-42,63,23
-41,56,24
-44,54,25
-47,54,27
-47,57,25
-40,63,21
-30,69,17
-28,72,16
-23,82,16
-21,84,15
-23,85,17
-23,81,14
-24,78,10
-24,70,5
-24,67,3
-22,60,1
-19,57,1
-19,55,2
-16,48,5
-16,45,5
-17,41,6
-18,40,7
-22,44,10
-25,52,12
-26,56,14
-29,66,16
-29,72,17
-28,81,15
-29,85,17
-30,84,19
-34,77,20
-35,73,20
-39,66,17
-36,58,13
-36,57,11
-38,57,10
-39,57,8
-39,58,8
-39,61,9
-37,62,11
-36,63,12
-35,64,12
-33,67,11
-30,71,12
-28,71,11
-25,75,11
-23,75,12
-22,74,12
-21,72,11
-21,69,8
-21,64,7
-21,62,6
-21,58,6
-21,56,6
-21,53,9
-20,50,11
-19,49,12
-18,48,14
-18,48,14
-19,47,15
-21,50,15
-22,52,14
-25,58,16
-27,61,18
-30,68,21
-33,73,23
-33,74,24
-32,72,24
-30,70,21
-29,66,17
-29,64,16
-33,62,14
-34,58,13
-34,57,12
-33,56,11
-33,56,10
-34,55,12
-32,57,14
-31,58,15
-31,61,15
-32,62,16
-30,64,17
-27,66,18
-25,67,18
-25,65,19
-25,64,19
-23,62,19
-20,60,16
-21,58,13
-24,56,10
-19,56,14
-16,52,16
-21,52,10
-25,54,12
-23,52,13
-24,53,13
-22,54,12
-17,53,-6
-39,64,10
-21,64,25
-26,62,17
-29,61,15
-28,61,16
-27,61,15
-29,62,13
-28,62,12
-28,62,11
-28,62,9
-28,62,10
-30,60,14
-31,59,15
-31,58,15
-32,57,16
-31,55,16
-32,57,16
-31,58,17
-28,60,16
-28,61,15
-27,62,16
-25,63,15
-24,64,14
-24,64,13
-23,65,12
-22,62,10
-22,61,9
-20,61,9
-19,59,7
-18,58,7
-17,60,8
-15,57,8
-15,57,8
-14,59,14
-13,61,18
-12,60,22
-13,60,22
-16,58,19
-17,61,19
-29,60,24
-30,62,35
-37,62,27
-28,60,19
-27,60,12
-26,60,11
-20,58,13
-19,58,13
-19,57,12
-21,56,11
-21,55,10
-21,55,11
-22,55,13
-23,54,15
-23,55,13
-24,57,12
-27,64,12
-29,67,12
-32,71,13
-32,70,12
-32,65,13
-32,60,17
-32,60,16
-40,62,17
-40,63,17
-43,63,14
-55,64,13
-58,67,16
-57,70,23
-56,64,20
-63,49,23
-56,38,24
-55,36,17
-67,35,9
-60,34,13
-48,24,12
-52,19,12
-52,12,14
-42,1,18
-42,-4,19
-50,-8,18
-51,-12,25
-50,-13,28
-48,-19,27
-51,-20,29
-52,-26,30
-46,-28,31
-41,-32,33
-41,-36,26
-43,-35,27
-40,-36,31
-45,-40,27
-48,-47,28
-48,-52,28
-48,-57,23
-54,-64,26
-52,-59,22
-50,-59,20
-30,-49,33
-20,-43,28
-10,-32,30
-1,-26,38
-1,-24,30
-22,-35,7
-32,-37,16
-36,-41,41
-35,-46,35
-35,-49,30
-32,-47,35
-16,-45,47
-17,-47,32
-20,-47,29
-6,-57,29
-1,-57,37
-11,-54,42
-8,-50,40
-10,-49,40
-16,-46,40
-13,-48,36
-8,-48,36
-7,-46,44
-13,-45,44
-17,-42,49
-18,-46,44
-17,-45,43
-20,-44,43
-24,-46,41
-6,-51,35
-3,-48,40
-3,-42,48
5,-31,51
4,-26,37
-7,-14,30
-22,-10,31
-31,-14,31
-37,-18,29
-48,-24,19
-59,-37,22
-54,-38,25
-57,-39,26
-64,-41,27
-69,-39,17
-69,-40,25
-67,-40,25
-59,-40,24
-59,-41,22
-62,-39,18
-64,-36,17
-64,-35,17
-59,-32,16
-58,-31,14
-56,-26,14
-56,-23,14
-54,-23,14
-56,-21,16
-55,-21,16
-57,-22,16
-56,-23,17
-56,-24,17
-57,-26,15
-58,-26,15
-61,-27,16
-60,-27,16
-59,-28,12
-57,-28,11
-56,-29,11
-57,-29,11
-57,-29,11
-57,-29,11
-57,-29,10
-56,-29,10
-56,-28,9
-56,-28,9
-57,-27,11
-57,-27,10
-57,-27,9
-60,-27,11
-61,-26,12
-60,-25,11
-58,-25,10
-58,-25,10
-58,-25,10
-58,-25,9
-60,-25,9
-61,-25,10
-63,-24,10
-62,-21,11
-61,-21,12
-60,-19,16
-59,-19,16
-60,-18,21
-59,-19,23
-56,-22,23
-53,-25,33
-56,-28,30
-63,-27,40
-65,-30,26
-62,-31,20
-58,-32,22
-55,-32,20
-51,-32,6
-41,-33,4
-41,-32,7
-39,-34,5
-36,-35,2
-25,-38,12
-20,-37,6
-24,-34,10
-43,-26,8
-43,-27,-5
-58,-28,-37
-71,-28,-53
-70,-30,-49
-68,-44,-38
-65,-46,-35
-58,-40,-32
-55,-35,-32
-48,-29,-32
-47,-25,-28
-46,-25,-28
-47,-25,-28
-48,-24,-27
-50,-24,-23
-50,-25,-23
-52,-24,-23
-58,-21,-23
-60,-20,-24
-59,-18,-24
-58,-19,-22
-58,-21,-21
-58,-22,-20
-58,-24,-20
-58,-25,-17
-56,-26,-18
-56,-26,-19
-57,-27,-20
-57,-27,-23
-54,-26,-24
-54,-27,-25
-53,-28,-27
-52,-27,-24
-52,-28,-22
