UNIX,EDA
1678175505.0,0.002563
1678175505.25,0.015379
1678175505.5,0.01666
1678175505.75,0.015379
1678175506.0,0.015379
1678175506.25,0.008971
1678175506.5,0.007689
1678175506.75,0.017942
1678175507.0,0.019223
1678175507.25,0.058952
1678175507.5,0.264002
1678175507.75,0.312701
1678175508.0,0.219147
1678175508.25,0.302449
1678175508.5,0.32808
1678175508.75,0.376779
1678175509.0,0.425479
1678175509.25,0.458799
1678175509.5,0.47546
1678175509.75,0.428042
1678175510.0,0.538256
1678175510.25,0.604898
1678175510.5,0.611305
1678175510.75,0.666413
1678175511.0,1.072935
1678175511.25,0.888459
1678175511.5,0.489893
1678175511.75,0.469388
1678175512.0,0.443757
1678175512.25,0.161744
1678175512.5,0.174559
1678175512.75,0.107918
1678175513.0,0.001549
1678175513.25,0.0
1678175513.5,0.094836
1678175513.75,0.121748
1678175514.0,0.152506
1678175514.25,0.220429
1678175514.5,0.389595
1678175514.75,0.372935
1678175515.0,0.354993
1678175515.25,0.356274
1678175515.5,0.320391
1678175515.75,0.343459
1678175516.0,0.479304
1678175516.25,0.169166
1678175516.5,0.037165
1678175516.75,0.047418
1678175517.0,0.052544
1678175517.25,0.038447
1678175517.5,0.067923
1678175517.75,0.088428
1678175518.0,0.084583
1678175518.25,0.445984
1678175518.5,0.563888
1678175518.75,0.49212
1678175519.0,0.362682
1678175519.25,0.110214
1678175519.5,0.099962
1678175519.75,0.114059
1678175520.0,0.099962
1678175520.25,0.30373
1678175520.5,0.271691
1678175520.75,0.347303
1678175521.0,0.356274
1678175521.25,0.370372
1678175521.5,0.354993
1678175521.75,0.448547
1678175522.0,0.511343
1678175522.25,0.53313
1678175522.5,0.493402
1678175522.75,0.449828
1678175523.0,0.281944
1678175523.25,0.161477
1678175523.5,0.337051
1678175523.75,0.384469
1678175524.0,0.460081
1678175524.25,0.502373
1678175524.5,0.111496
1678175524.75,0.071768
1678175525.0,0.09868
1678175525.25,0.06536
1678175525.5,0.207613
1678175525.75,0.343459
1678175526.0,0.363964
1678175526.25,0.740743
1678175526.5,0.90505
1678175526.75,0.428309
1678175527.0,0.254016
1678175527.25,0.0
1678175527.5,0.0
1678175527.75,0.06536
1678175528.0,0.047418
1678175528.25,0.007689
1678175528.5,0.011534
1678175528.75,0.014097
1678175529.0,0.31142
1678175529.25,0.813792
1678175529.5,1.115226
1678175529.75,0.632146
1678175530.0,0.783371
1678175530.25,0.833352
1678175530.5,0.782089
1678175530.75,0.696225
1678175531.0,0.707759
1678175531.25,1.0038
1678175531.5,0.505272
1678175531.75,0.961508
1678175532.0,0.44632
1678175532.25,1.174178
1678175532.5,1.211413
1678175532.75,0.862828
1678175533.0,0.461699
1678175533.25,1.174178
1678175533.5,0.83207
1678175533.75,0.525777
1678175534.0,1.502327
1678175534.25,1.498582
1678175534.5,1.513961
1678175534.75,1.522931
1678175535.0,1.487048
1678175535.25,0.796286
1678175535.5,0.624457
1678175535.75,0.316882
1678175536.0,0.189938
1678175536.25,0.052811
1678175536.5,0.30656
1678175536.75,0.808933
1678175537.0,1.065245
1678175537.25,0.967916
1678175537.5,1.066596
1678175537.75,0.941003
1678175538.0,1.101198
1678175538.25,1.304967
1678175538.5,1.349821
1678175538.75,1.371608
1678175539.0,1.38955
1678175539.25,0.562942
1678175539.5,0.635991
1678175539.75,0.47964
1678175540.0,0.912809
1678175540.25,1.058907
1678175540.5,0.412999
1678175540.75,1.08575
1678175541.0,0.648807
1678175541.25,0.796186
1678175541.5,1.073004
1678175541.75,1.149898
1678175542.0,1.220384
1678175542.25,1.257549
1678175542.5,0.887177
1678175542.75,0.653933
1678175543.0,0.843604
1678175543.25,0.911527
1678175543.5,1.107606
1678175543.75,1.16784
1678175544.0,1.198597
1678175544.25,1.231918
1678175544.5,1.20885
1678175544.75,1.051217
1678175545.0,0.871799
1678175545.25,0.80772
1678175545.5,0.824381
1678175545.75,0.816691
1678175546.0,0.941003
1678175546.25,1.024305
1678175546.5,1.046091
1678175546.75,1.051217
1678175547.0,1.065315
1678175547.25,1.079412
1678175547.5,1.04481
1678175547.75,0.947411
1678175548.0,0.9551
1678175548.25,0.965353
1678175548.5,0.97176
1678175548.75,1.034557
1678175549.0,1.131956
1678175549.25,1.156305
1678175549.5,1.165276
1678175549.75,1.16784
1678175550.0,1.169121
1678175550.25,1.089664
1678175550.5,1.064033
1678175550.75,0.83207
1678175551.0,0.851294
1678175551.25,0.920498
1678175551.5,0.93844
1678175551.75,0.942285
1678175552.0,0.939721
1678175552.25,0.965353
1678175552.5,0.967916
1678175552.75,0.966634
1678175553.0,0.982013
1678175553.25,0.96279
1678175553.5,0.957663
1678175553.75,0.964071
1678175554.0,0.946129
1678175554.25,0.861546
1678175554.5,0.875643
1678175554.75,0.723137
1678175555.0,0.318164
1678175555.25,0.116889
1678175555.5,0.56031
1678175555.75,0.589786
1678175556.0,0.582096
1678175556.25,0.625669
1678175556.5,0.59363
1678175556.75,0.41293
1678175557.0,0.655145
1678175557.25,0.673087
1678175557.5,0.607728
1678175557.75,0.667961
1678175558.0,0.674369
1678175558.25,0.493669
1678175558.5,0.600038
1678175558.75,0.674369
1678175559.0,0.587223
1678175559.25,0.660272
1678175559.5,0.68334
1678175559.75,0.620543
1678175560.0,0.684621
1678175560.25,0.692311
1678175560.5,0.628233
1678175560.75,0.625669
1678175561.0,0.652582
1678175561.25,0.623106
1678175561.5,0.626951
1678175561.75,0.632077
1678175562.0,0.651301
1678175562.25,0.63464
1678175562.5,0.674369
1678175562.75,0.644893
1678175563.0,0.630796
1678175563.25,0.624388
1678175563.5,0.625669
1678175563.75,0.632077
1678175564.0,0.671806
1678175564.25,0.459066
1678175564.5,0.610291
1678175564.75,0.646174
1678175565.0,0.425746
1678175565.25,0.269395
1678175565.5,0.228385
1678175565.75,0.211725
1678175566.0,0.202754
1678175566.25,0.201472
1678175566.5,0.277084
1678175566.75,0.353978
1678175567.0,0.337318
1678175567.25,0.374483
1678175567.5,0.4706
1678175567.75,0.468037
1678175568.0,0.524426
1678175568.25,0.542368
1678175568.5,0.55262
1678175568.75,0.152773
1678175569.0,0.0
1678175569.25,0.124312
1678175569.5,0.237089
1678175569.75,0.339614
1678175570.0,0.312701
1678175570.25,0.251186
1678175570.5,0.261439
1678175570.75,0.265283
1678175571.0,0.264002
1678175571.25,0.267847
1678175571.5,0.319109
1678175571.75,0.543383
1678175572.0,0.633092
1678175572.25,0.675383
1678175572.5,0.83969
1678175572.75,0.497513
1678175573.0,0.316813
1678175573.25,0.351415
1678175573.5,0.269395
1678175573.75,0.261706
1678175574.0,0.338599
1678175574.25,0.550057
1678175574.5,0.516737
1678175574.75,0.632077
1678175575.0,0.737165
1678175575.25,0.729476
1678175575.5,0.551339
1678175575.75,0.530834
1678175576.0,0.546213
1678175576.25,0.573125
1678175576.5,0.587223
1678175576.75,0.605164
1678175577.0,0.615417
1678175577.25,0.648738
1678175577.5,0.587223
1678175577.75,0.480853
1678175578.0,0.651301
1678175578.25,0.671806
1678175578.5,0.651301
1678175578.75,0.698719
1678175579.0,0.732039
1678175579.25,0.744855
1678175579.5,0.737165
1678175579.75,0.748699
1678175580.0,0.756389
1678175580.25,0.747418
1678175580.5,0.730758
1678175580.75,0.752544
1678175581.0,0.785865
1678175581.25,0.753826
1678175581.5,0.701282
1678175581.75,0.760234
1678175582.0,0.832001
1678175582.25,0.989633
1678175582.5,1.038333
1678175582.75,1.007644
1678175583.0,1.042246
1678175583.25,1.076849
1678175583.5,1.101198
1678175583.75,1.121703
1678175584.0,1.156305
1678175584.25,1.194752
1678175584.5,1.233199
1678175584.75,1.262675
1678175585.0,1.29087
1678175585.25,1.321627
1678175585.5,1.339569
1678175585.75,1.34085
1678175586.0,1.342132
1678175586.25,1.344695
1678175586.5,1.335724
1678175586.75,1.328035
1678175587.0,1.319064
1678175587.25,1.320346
1678175587.5,1.312656
1678175587.75,1.311375
1678175588.0,1.306248
1678175588.25,1.302404
1678175588.5,1.295996
1678175588.75,1.294714
1678175589.0,1.292151
1678175589.25,1.289588
1678175589.5,1.287025
1678175589.75,1.287025
1678175590.0,1.280617
1678175590.25,1.280617
1678175590.5,1.274209
1678175590.75,1.275491
1678175591.0,1.271646
1678175591.25,1.261394
1678175591.5,1.260112
1678175591.75,1.262675
1678175592.0,1.260112
